Type,RetailPrice,DealerCost,Engine.Size..l.,Cyl,HP,City.MPG,Hwy.MPG,Weight,Wheel.Base
Regular,23506.57,21707.5,2.601807229,4.963855422,176.3614458,23.56050955,31.2611465,3123.278395,105.3231707
Sports Car,53387.06,48473.16,3.442857143,6.040816327,284.1632653,18.59574468,25.72340426,3295.693878,99.97959184
SUV Car,34790.25,31625.35,3.92,6.566666667,235.8166667,16.20338983,20.62711864,4444.433333,111.0833333
Wagon Car,28840.53,26645.63,2.77,5.3,194,20.96551724,27.79310345,3438.8,105.8
Minivan Cars,27796.5,25355.5,3.535,5.9,204.45,17.9,24.45,4193.6,117.4
Pickup Car,24941.375,22616.75,4.079166667,6.25,224.8333333,16.69565217,21.17391304,4250.75,123
